year,month,mole fraction(ppm),trend(ppm),growth rate(ppm/yr)
1984,1,345.10,343.61,NaN
1984,2,345.51,343.74,NaN
1984,3,345.72,343.87,NaN
1984,4,345.75,343.99,NaN
1984,5,345.27,344.11,NaN
1984,6,344.11,344.24,NaN
1984,7,342.48,344.35,NaN
1984,8,341.52,344.47,NaN
1984,9,341.98,344.59,NaN
1984,10,343.43,344.71,NaN
1984,11,344.93,344.83,NaN
1984,12,345.86,344.95,NaN
1985,1,346.46,345.07,1.44
1985,2,346.86,345.19,1.44
1985,3,347.12,345.31,1.44
1985,4,347.14,345.43,1.44
1985,5,346.73,345.55,1.44
1985,6,345.59,345.67,1.44
1985,7,343.97,345.79,1.44
1985,8,342.98,345.91,1.44
1985,9,343.41,346.03,1.44
1985,10,344.88,346.15,1.45
1985,11,346.33,346.27,1.46
1985,12,347.28,346.39,1.46
1986,1,347.87,346.51,1.47
1986,2,348.30,346.64,1.47
1986,3,348.55,346.76,1.47
1986,4,348.60,346.88,1.48
1986,5,348.18,347.01,1.48
1986,6,347.07,347.13,1.50
1986,7,345.42,347.26,1.52
1986,8,344.45,347.38,1.56
1986,9,344.91,347.51,1.60
1986,10,346.41,347.65,1.65
1986,11,347.86,347.79,1.72
1986,12,348.70,347.94,1.79
1987,1,349.28,348.09,1.87
1987,2,349.71,348.25,1.95
1987,3,350.03,348.41,2.03
1987,4,350.19,348.59,2.10
1987,5,349.92,348.76,2.16
1987,6,348.93,348.95,2.21
1987,7,347.37,349.13,2.26
1987,8,346.46,349.32,2.29
1987,9,346.91,349.51,2.31
1987,10,348.43,349.71,2.33
1987,11,349.91,349.90,2.34
1987,12,350.96,350.10,2.34
1988,1,351.71,350.29,2.33
1988,2,352.15,350.49,2.32
1988,3,352.43,350.68,2.30
1988,4,352.57,350.87,2.28
1988,5,352.26,351.06,2.24
1988,6,351.17,351.24,2.19
1988,7,349.66,351.42,2.13
1988,8,348.79,351.60,2.06
1988,9,349.30,351.77,1.98
1988,10,350.82,351.93,1.89
1988,11,352.23,352.08,1.80
1988,12,353.21,352.23,1.71
1989,1,353.86,352.37,1.62
1989,2,354.27,352.50,1.53
1989,3,354.49,352.62,1.45
1989,4,354.48,352.74,1.38
1989,5,354.00,352.85,1.32
1989,6,352.84,352.96,1.26
1989,7,351.27,353.06,1.21
1989,8,350.28,353.16,1.17
1989,9,350.74,353.26,1.15
1989,10,352.17,353.35,1.12
1989,11,353.55,353.45,1.11
1989,12,354.41,353.54,1.11
1990,1,355.00,353.63,1.12
1990,2,355.38,353.73,1.14
1990,3,355.58,353.82,1.17
1990,4,355.59,353.92,1.20
1990,5,355.14,354.02,1.24
1990,6,353.93,354.13,1.28
1990,7,352.34,354.24,1.31
1990,8,351.33,354.35,1.34
1990,9,351.86,354.46,1.36
1990,10,353.36,354.57,1.37
1990,11,354.78,354.69,1.36
1990,12,355.71,354.80,1.34
1991,1,356.32,354.91,1.30
1991,2,356.78,355.02,1.25
1991,3,357.04,355.12,1.19
1991,4,356.97,355.21,1.12
1991,5,356.57,355.30,1.05
1991,6,355.41,355.39,0.99
1991,7,353.71,355.47,0.93
1991,8,352.65,355.54,0.88
1991,9,353.02,355.62,0.84
1991,10,354.47,355.68,0.80
1991,11,355.85,355.75,0.77
1991,12,356.64,355.81,0.75
1992,1,357.24,355.87,0.73
1992,2,357.54,355.93,0.72
1992,3,357.75,355.99,0.71
1992,4,357.81,356.05,0.70
