Année,États-Unis,UE à 28,France,Chine,Inde,Monde
1970,92.42,95.27,120.0,38.0,39.0,69.7
1971,89.65,95.24,121.88,37.94,38.72,69.31
1972,94.52,98.02,126.46,40.49,40.22,72.76
1973,98.2,103.02,136.0,42.0,40.0,77.04
1974,94.92,100.78,131.47,42.93,42.99,76.76
1975,90.69,98.29,121.42,49.2,45.92,76.41
1976,96.49,104.11,132.27,51.18,49.01,80.79
1977,99.71,104.0,127.94,57.54,49.88,83.21
1978,99.61,107.1,132.32,64.89,44.5,86.29
1979,100.38,111.28,134.6,66.46,47.85,88.67
1980,95.9,108.01,129.73,65.05,49.64,87.64
1981,94.54,103.57,117.05,64.49,54.98,85.98
1982,89.7,100.99,111.69,67.43,58.48,84.99
1983,89.3,100.3,107.33,70.98,62.27,85.58
1984,93.43,100.59,104.42,77.41,68.24,88.26
1985,93.93,101.54,101.68,78.05,71.41,89.4
1986,93.13,101.99,98.6,82.47,77.34,90.92
1987,96.24,103.08,97.06,88.25,83.21,93.87
1988,100.64,102.96,97.12,94.95,88.2,97.22
1989,101.77,102.93,101.1,98.24,95.08,98.96
1990,100.0,100.0,100.0,100.0,100.0,100.0
1991,99.23,98.9,106.12,105.64,107.13,100.5
1992,100.83,95.37,103.24,111.17,110.03,100.14
1993,103.21,93.49,98.22,120.56,114.96,100.59
1994,104.74,93.11,96.84,128.11,121.55,101.82
1995,105.78,94.21,99.05,141.13,130.61,104.72
1996,108.7,96.77,102.88,140.46,136.61,106.74
1997,112.13,94.66,100.79,142.93,143.46,108.23
1998,112.42,94.47,106.44,146.2,145.88,108.65
1999,112.83,93.02,104.9,143.34,157.19,109.52
2000,116.84,93.52,104.39,153.17,162.81,113.33
2001,115.66,94.98,105.58,160.42,165.46,114.65
2002,114.11,94.42,104.02,173.02,171.96,116.65
2003,115.59,96.84,105.19,200.81,176.16,122.15
2004,117.27,96.98,105.38,231.79,190.94,127.88
2005,117.41,96.42,106.07,261.28,199.8,132.53
2006,115.37,96.82,103.48,290.49,212.84,137.05
2007,116.91,95.76,101.86,318.7,231.15,142.49
2008,113.14,93.54,100.2,325.69,245.59,143.13
2009,104.98,86.06,96.03,349.01,274.39,141.44
2010,109.73,88.93,98.69,380.67,289.11,149.62
2011,107.19,85.51,90.97,418.2,304.77,154.42
2012,103.69,84.62,91.91,427.88,328.19,156.35
2013,105.02,82.55,92.38,447.11,334.44,159.08
2014,106.45,78.7,84.03,450.79,366.66,161.09
2015,103.17,79.77,86.21,450.9,377.92,161.05
2016,101.19,79.75,87.33,449.61,391.28,161.65
2017,100.42,80.62,88.96,453.78,405.1,163.52
