Année,GISS-NASA,NOAA,Hadley Center,Moyenne,"Moyenne glissante
 sur 11 ans"
1850,,,"-0,06121569","-0,06",
1851,,,"0,093784314","0,09",
1852,,,"0,083784314","0,08",
1853,,,"0,042784314","0,04",
1854,,,"0,063784314","0,06",
1855,,,"0,039784314","0,04","-0,008"
1856,,,"-0,04621569","-0,05","-0,011"
1857,,,"-0,14921569","-0,15","-0,039"
1858,,,"-0,15521569","-0,16","-0,044"
1859,,,"0,027784314","0,03","-0,064"
1860,,,"-0,03121569","-0,03","-0,067"
1861,,,"-0,09521569","-0,1","-0,065"
1862,,,"-0,21221569","-0,21","-0,062"
1863,,,"0,033784314","0,03","-0,041"
1864,,,"-0,18221569","-0,18","-0,023"
1865,,,"0,032784314","0,03","-0,022"
1866,,,"0,060784314","0,06","-0,021"
1867,,,"-0,00921569","-0,01","-0,005"
1868,,,"0,073784314","0,07","0,015"
1869,,,"0,049784314","0,05","0,007"
1870,,,"0,035784314","0,04","0,016"
1871,,,"-0,02321569","-0,02","0,006"
1872,,,"0,084784314","0,08","0,022"
1873,,,"0,007784314","0,01","0,055"
1874,,,"-0,05621569","-0,06","0,055"
1875,,,"-0,08321569","-0,08","0,056"
1876,,,"-0,07221569","-0,07","0,063"
1877,,,"0,236784314","0,24","0,075"
1878,,,"0,346784314","0,35","0,069"
1879,,,"0,081784314","0,08","0,062"
1880,"0,03","0,06","0,084784314","0,06","0,061"
1881,"0,12","0,11","0,111784314","0,11","0,063"
1882,"0,11","0,1","0,098784314","0,1","0,06"
1883,"0,03","0,03","0,015784314","0,03","0,041"
1884,"-0,07","-0,04","-0,09721569","-0,07","0,019"
1885,"-0,1","-0,04","-0,07721569","-0,07",0
1886,"-0,1","-0,03","-0,05521569","-0,06","-0,009"
1887,"-0,13","-0,07","-0,10621569","-0,1","-0,029"
1888,"0,04","0,03","0,004784314","0,02","-0,05"
1889,"0,11","0,08","0,140784314","0,11","-0,061"
1890,"-0,15","-0,14","-0,10421569","-0,13","-0,059"
1891,"-0,02","-0,07","-0,01821569","-0,04","-0,042"
1892,"-0,05","-0,12","-0,14321569","-0,1","-0,028"
1893,"-0,1","-0,13","-0,16121569","-0,13","-0,026"
1894,"-0,09","-0,1","-0,09821569","-0,1","-0,025"
1895,"-0,01","-0,04","-0,07821569","-0,04","-0,025"
1896,"0,1","0,09","0,125784314","0,11","-0,008"
1897,"0,1","0,07","0,105784314","0,09","-0,012"
1898,"-0,06","-0,08","-0,10021569","-0,08","-0,017"
1899,"0,03","0,06","0,022784314","0,04","-0,028"
1900,"0,13","0,11","0,108784314","0,12","-0,026"
1901,"0,06","0,04","0,052784314","0,05","-0,023"
1902,"-0,07","-0,07","-0,09021569","-0,08","-0,048"
1903,"-0,17","-0,16","-0,16721569","-0,17","-0,077"
1904,"-0,28","-0,24","-0,20821569","-0,24","-0,092"
